,Number,State/UT,Admin_Capital,Legislative_Capital,Judiciary_Capital,Year_Capital,Former_Capital
0,"1
",Andaman and Nicobar Islands,Port Blair,"None
","Kolkata
","1955
","Calcutta (1945–1955)
"
1,"2
",Andhra Pradesh,Hyderabad,Amaravati,Amaravati,1956,Kurnool
2,"3
",Arunachal Pradesh,Itanagar,"Itanagar
",Guwahati,"1986
","None
"
3,"4
",Assam,Dispur,Guwahati,"Guwahati
","1975
",Shillong
4,"5
",Bihar,Patna,"Patna
","Patna
","1912
","None
"
5,"6
",Chandigarh,Chandigarh,"None
","Chandigarh
","1966
","None
"
6,"7
",Chhattisgarh,Raipur,"Raipur
",Bilaspur,"2000
","None
"
7,"8
",Dadra and Nagar Haveli,Silvassa,"None
",Mumbai,"1945
",Mumbai (1954–1961) 
8,"9
",Daman and Diu,Daman,"None
",Mumbai,"1987
",Ahmedabad
9,"10
",National Capital Territory of Delhi,New Delhi,"New Delhi
","New Delhi
","1931
","None
"
10,"11
",Goa,Panaji,Porvorim,Mumbai,"1961
","Panaji (1961–1987)
"
11,"12
",Gujarat,Gandhinagar,"Gandhinagar
",Ahmedabad,"1960
",Ahmedabad
12,"13
",Haryana,Chandigarh,"Chandigarh
","Chandigarh
","1966
","None
"
13,"14
",Himachal Pradesh,Shimla,Shimla (Summer),"Shimla 
",1971,Bilaspur
14,"15
",Jammu and Kashmir,Srinagar,Srinagar (Summer),Srinagar (Summer),"1947
","None
"
15,"16
",Jharkhand,Ranchi,"Ranchi
","Ranchi
","2000
","None
"
16,"17
",Karnataka,Bengaluru,"Bengaluru
","Bengaluru
","1940
","(Mysore)
"
17,"18
",Kerala,Thiruvananthapuram,"Thiruvananthapuram
",Kochi,"1956
","None
"
18,"19
",Lakshadweep,Kavaratti,"None
",Kochi,"1956
","None
"
19,"20
",Madhya Pradesh,Bhopal,"Bhopal
",Jabalpur,"1956
",Nagpur
20,"21
",Maharashtra,Mumbai,"Mumbai (Summer)
","Mumbai
","1818
","None
"
21,"22
",Manipur,Imphal,"Imphal
","Imphal
","1947
","None
"
22,"23
",Meghalaya,Shillong,"Shillong
","Shillong
","1970
","None
"
23,"24
",Mizoram,Aizawl,"Aizawl
",Guwahati,"1972
","None
"
24,"25
",Nagaland,Kohima,"Kohima
",Guwahati,"1963
","None
"
25,"26
",Odisha,Bhubaneswar,"Bhubaneswar
",Cuttack,"1948
",Cuttack
26,"27
",Puducherry,Puducherry,"Puducherry
",Chennai,"1954
",Madras
27,"28
",Punjab,Chandigarh,"Chandigarh
","Chandigarh
","1966
","None
"
28,"29
",Rajasthan,Jaipur,"Jaipur
",Jodhpur,"1950
","None
"
29,"30
",Sikkim,Gangtok,"Gangtok
","Gangtok
","1890
","None
"
30,"31
",Tamil Nadu,Chennai,"Chennai
","Chennai
","1956
","None
"
31,"32
",Telangana,Hyderabad,"Hyderabad
","Hyderabad
","2014
","None
"
32,"33
",Tripura,Agartala,"Agartala
","Agartala
","1956
","None
"
33,"34
",Uttar Pradesh,Lucknow,"Lucknow
",Allahabad,"1938
","None
"
34,"35
",Uttarakhand,Dehradun,"Dehradun
",Nainital,"2000
","None
"
35,"36
",West Bengal,Kolkata,"Kolkata
","Kolkata
","1947
","None
"
